P61432--Q8DUF8--53.2--4.5e-98--murB SMU_972--Cell wall biogenesis; peptidoglycan biosynthesis. --FUNCTION: Cell wall formation. {ECO:0000255|HAMAP-Rule:MF_00037}.--CATALYTIC ACTIVITY: Reaction=NADP(+) + UDP-N-acetyl-alpha-D-muramate = H(+) + NADPH + UDP-N-acetyl-3-O-(1-carboxyvinyl)-alpha-D-glucosamine; Xref=Rhea:RHEA:12248, ChEBI:CHEBI:15378, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:68483, ChEBI:CHEBI:70757; EC=1.3.1.98; Evidence={ECO:0000255|HAMAP-Rule:MF_00037};--   --
P52026--Q8DVZ5--50.7--0.0--polI polA SMU_297----FUNCTION: In addition to polymerase activity, this DNA polymerase exhibits 5'-3' exonuclease activity. {ECO:0000256|RuleBase:RU004460}.--CATALYTIC ACTIVITY: Reaction=a 2'-deoxyribonucleoside 5'-triphosphate + DNA(n) = diphosphate + DNA(n+1); Xref=Rhea:RHEA:22508, Rhea:RHEA-COMP:11130, Rhea:RHEA-COMP:11131, ChEBI:CHEBI:33019, ChEBI:CHEBI:61560, ChEBI:CHEBI:83828; EC=2.7.7.7; Evidence={ECO:0000256|ARBA:ARBA00001680, ECO:0000256|RuleBase:RU004460};--   --
P19079--Q8DU35--52.9--4.5e-38--cdd SMU_1122----FUNCTION: This enzyme scavenges exogenous and endogenous cytidine and 2'-deoxycytidine for UMP synthesis. {ECO:0000256|ARBA:ARBA00003949, ECO:0000256|RuleBase:RU364006}.--CATALYTIC ACTIVITY: Reaction=2'-deoxycytidine + H(+) + H2O = 2'-deoxyuridine + NH4(+); Xref=Rhea:RHEA:13433, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15698, ChEBI:CHEBI:16450, ChEBI:CHEBI:28938; EC=3.5.4.5; Evidence={ECO:0000256|ARBA:ARBA00000631, ECO:0000256|RuleBase:RU364006}; CATALYTIC ACTIVITY: Reaction=cytidine + H(+) + H2O = NH4(+) + uridine; Xref=Rhea:RHEA:16069, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:16704, ChEBI:CHEBI:17562, ChEBI:CHEBI:28938; EC=3.5.4.5; Evidence={ECO:0000256|ARBA:ARBA00000393, ECO:0000256|RuleBase:RU364006};--   --
P32320--Q8DU35--55.6--0.0--0.0--0.0--0.0--0.0--0.0--0.0
Q5SJ28--Q8DU34--42.3--4.1e-53--deoC SMU_1123--Carbohydrate degradation; 2-deoxy-D-ribose 1-phosphate degradation; D-glyceraldehyde 3-phosphate and acetaldehyde from 2-deoxy-alpha-D-ribose 1-phosphate: step 2/2. --FUNCTION: Catalyzes a reversible aldol reaction between acetaldehyde and D-glyceraldehyde 3-phosphate to generate 2-deoxy-D-ribose 5-phosphate. {ECO:0000255|HAMAP-Rule:MF_00114}.--CATALYTIC ACTIVITY: Reaction=2-deoxy-D-ribose 5-phosphate = acetaldehyde + D-glyceraldehyde 3-phosphate; Xref=Rhea:RHEA:12821, ChEBI:CHEBI:15343, ChEBI:CHEBI:59776, ChEBI:CHEBI:62877; EC=4.1.2.4; Evidence={ECO:0000255|HAMAP-Rule:MF_00114};--   --
P10724--Q8DSF4--49.0--2.5e-103--alr SMU_1834--Amino-acid biosynthesis; D-alanine biosynthesis; D-alanine from L-alanine: step 1/1. --FUNCTION: Catalyzes the interconversion of L-alanine and D-alanine. May also act on other amino acids. {ECO:0000255|HAMAP-Rule:MF_01201}.--CATALYTIC ACTIVITY: Reaction=L-alanine = D-alanine; Xref=Rhea:RHEA:20249, ChEBI:CHEBI:57416, ChEBI:CHEBI:57972; EC=5.1.1.1; Evidence={ECO:0000255|HAMAP-Rule:MF_01201};--   --
P56868--Q8DSQ5--44.8--3.4e-52--murI SMU_1718--Cell wall biogenesis; peptidoglycan biosynthesis. --FUNCTION: Provides the (R)-glutamate required for cell wall biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00258}.--CATALYTIC ACTIVITY: Reaction=L-glutamate = D-glutamate; Xref=Rhea:RHEA:12813, ChEBI:CHEBI:29985, ChEBI:CHEBI:29986; EC=5.1.1.3; Evidence={ECO:0000255|HAMAP-Rule:MF_00258};--   --
Q836J0--Q8DSQ5--61.0--1.2e-101--murI SMU_1718--Cell wall biogenesis; peptidoglycan biosynthesis. --FUNCTION: Provides the (R)-glutamate required for cell wall biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00258}.--CATALYTIC ACTIVITY: Reaction=L-glutamate = D-glutamate; Xref=Rhea:RHEA:12813, ChEBI:CHEBI:29985, ChEBI:CHEBI:29986; EC=5.1.1.3; Evidence={ECO:0000255|HAMAP-Rule:MF_00258};--   --
Q8Y7N7--Q8DSQ5--54.0--7.5e-96--murI SMU_1718--Cell wall biogenesis; peptidoglycan biosynthesis. --FUNCTION: Provides the (R)-glutamate required for cell wall biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00258}.--CATALYTIC ACTIVITY: Reaction=L-glutamate = D-glutamate; Xref=Rhea:RHEA:12813, ChEBI:CHEBI:29985, ChEBI:CHEBI:29986; EC=5.1.1.3; Evidence={ECO:0000255|HAMAP-Rule:MF_00258};--   --
Q9A1B7--Q8DSQ5--78.4--6.8e-148--murI SMU_1718--Cell wall biogenesis; peptidoglycan biosynthesis. --FUNCTION: Provides the (R)-glutamate required for cell wall biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00258}.--CATALYTIC ACTIVITY: Reaction=L-glutamate = D-glutamate; Xref=Rhea:RHEA:12813, ChEBI:CHEBI:29985, ChEBI:CHEBI:29986; EC=5.1.1.3; Evidence={ECO:0000255|HAMAP-Rule:MF_00258};--   --
Q8T8E9--P96995--41.9--4.4e-91--galE SMU_888--Carbohydrate metabolism; galactose metabolism. --FUNCTION: Involved in the metabolism of galactose. Catalyzes the conversion of UDP-galactose (UDP-Gal) to UDP-glucose (UDP-Glc) through a mechanism involving the transient reduction of NAD (By similarity). {ECO:0000250}.--CATALYTIC ACTIVITY: Reaction=UDP-alpha-D-glucose = UDP-alpha-D-galactose; Xref=Rhea:RHEA:22168, ChEBI:CHEBI:58885, ChEBI:CHEBI:66914; EC=5.1.3.2;--   --
P00943--P72484--53.0--3e-89--tpiA tpi SMU_715--Carbohydrate biosynthesis; gluconeogenesis. Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate from glycerone phosphate: step 1/1. --FUNCTION: Involved in the gluconeogenesis. Catalyzes stereospecifically the conversion of dihydroxyacetone phosphate (DHAP) to D-glyceraldehyde-3-phosphate (G3P). {ECO:0000255|HAMAP-Rule:MF_00147}.--CATALYTIC ACTIVITY: Reaction=D-glyceraldehyde 3-phosphate = dihydroxyacetone phosphate; Xref=Rhea:RHEA:18585, ChEBI:CHEBI:57642, ChEBI:CHEBI:59776; EC=5.3.1.1; Evidence={ECO:0000255|HAMAP-Rule:MF_00147};--   --
Q6GJI1--Q8DSW8--57.7--0.0--metS metG SMU_1639----FUNCTION: Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation. {ECO:0000256|ARBA:ARBA00003314, ECO:0000256|HAMAP-Rule:MF_01228}.--CATALYTIC ACTIVITY: Reaction=ATP + L-methionine + tRNA(Met) = AMP + diphosphate + L-methionyl-tRNA(Met); Xref=Rhea:RHEA:13481, Rhea:RHEA-COMP:9667, Rhea:RHEA-COMP:9698, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:57844, ChEBI:CHEBI:78442, ChEBI:CHEBI:78530, ChEBI:CHEBI:456215; EC=6.1.1.10; Evidence={ECO:0000256|ARBA:ARBA00001234, ECO:0000256|HAMAP-Rule:MF_01228};--   --
P0AGJ9--Q8DS44--49.5--7.3e-142--tyrS SMU_1992----FUNCTION: Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction: tyrosine is first activated by ATP to form Tyr-AMP and then transferred to the acceptor end of tRNA(Tyr). {ECO:0000255|HAMAP-Rule:MF_02006}.--CATALYTIC ACTIVITY: Reaction=ATP + L-tyrosine + tRNA(Tyr) = AMP + diphosphate + H(+) + L-tyrosyl-tRNA(Tyr); Xref=Rhea:RHEA:10220, Rhea:RHEA-COMP:9706, Rhea:RHEA-COMP:9707, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:58315, ChEBI:CHEBI:78442, ChEBI:CHEBI:78536, ChEBI:CHEBI:456215; EC=6.1.1.1; Evidence={ECO:0000255|HAMAP-Rule:MF_02006};--   --
Q9RVD6--Q8DRR1--57.5--9.6e-127--trpS SMU_2158c----FUNCTION: Catalyzes the attachment of tryptophan to tRNA(Trp). {ECO:0000255|HAMAP-Rule:MF_00140}.--CATALYTIC ACTIVITY: Reaction=ATP + L-tryptophan + tRNA(Trp) = AMP + diphosphate + H(+) + L-tryptophanyl-tRNA(Trp); Xref=Rhea:RHEA:24080, Rhea:RHEA-COMP:9671, Rhea:RHEA-COMP:9705, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:57912, ChEBI:CHEBI:78442, ChEBI:CHEBI:78535, ChEBI:CHEBI:456215; EC=6.1.1.2; Evidence={ECO:0000255|HAMAP-Rule:MF_00140};--   --
Q8NW68--Q8DT12--64.9--0.0--thrS SMU_1586----FUNCTION: Catalyzes the attachment of threonine to tRNA(Thr) in a two-step reaction: L-threonine is first activated by ATP to form Thr-AMP and then transferred to the acceptor end of tRNA(Thr). Also edits incorrectly charged L-seryl-tRNA(Thr). {ECO:0000255|HAMAP-Rule:MF_00184}.--CATALYTIC ACTIVITY: Reaction=ATP + L-threonine + tRNA(Thr) = AMP + diphosphate + H(+) + L-threonyl-tRNA(Thr); Xref=Rhea:RHEA:24624, Rhea:RHEA-COMP:9670, Rhea:RHEA-COMP:9704, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:57926, ChEBI:CHEBI:78442, ChEBI:CHEBI:78534, ChEBI:CHEBI:456215; EC=6.1.1.3; Evidence={ECO:0000255|HAMAP-Rule:MF_00184};--   --
P41972--Q8DVD3--55.8--0.0--ileS SMU_558----FUNCTION: Catalyzes the attachment of isoleucine to tRNA(Ile). As IleRS can inadvertently accommodate and process structurally similar amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile). {ECO:0000255|HAMAP-Rule:MF_02002}.--CATALYTIC ACTIVITY: Reaction=ATP + L-isoleucine + tRNA(Ile) = AMP + diphosphate + L-isoleucyl-tRNA(Ile); Xref=Rhea:RHEA:11060, Rhea:RHEA-COMP:9666, Rhea:RHEA-COMP:9695, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:58045, ChEBI:CHEBI:78442, ChEBI:CHEBI:78528, ChEBI:CHEBI:456215; EC=6.1.1.5; Evidence={ECO:0000255|HAMAP-Rule:MF_02002};--   --
