P26392--Q9HU23--52.2--3.5E-97--rmlD PA5162--Carbohydrate biosynthesis; dTDP-L-rhamnose biosynthesis. --FUNCTION: Catalyzes the reduction of dTDP-6-deoxy-L-lyxo-4-hexulose to yield dTDP-L-rhamnose. {ECO:0000256|RuleBase:RU364082}.--CATALYTIC ACTIVITY: Reaction=dTDP-beta-L-rhamnose + NADP(+) = dTDP-4-dehydro-beta-L-rhamnose + H(+) + NADPH; Xref=Rhea:RHEA:21796, ChEBI:CHEBI:15378, ChEBI:CHEBI:57510, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:62830; EC=1.1.1.133; Evidence={ECO:0000256|RuleBase:RU364082};--   --
P0A884--Q9I6F1--69.7--7.4E-143--thyA PA0342--Pyrimidine metabolism; dTTP biosynthesis. --FUNCTION: Catalyzes the reductive methylation of 2'-deoxyuridine-5'-monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor and reductant in the reaction, yielding dihydrofolate (DHF) as a by-product. This enzymatic reaction provides an intracellular de novo source of dTMP, an essential precursor for DNA biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00008}.--CATALYTIC ACTIVITY: ; Reaction=(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate + dUMP = 7,8-dihydrofolate + dTMP; Xref=Rhea:RHEA:12104, ChEBI:CHEBI:15636, ChEBI:CHEBI:57451, ChEBI:CHEBI:63528, ChEBI:CHEBI:246422; EC=2.1.1.45; Evidence={ECO:0000255|HAMAP-Rule:MF_00008};--   --
P31057--Q9HV70--50.9--3.4E-87--panB2 PA4729--Cofactor biosynthesis; (R)-pantothenate biosynthesis; (R)-pantoate from 3-methyl-2-oxobutanoate: step 1/2. --FUNCTION: Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is transferred onto alpha-ketoisovalerate to form ketopantoate. {ECO:0000255|HAMAP-Rule:MF_00156}.--CATALYTIC ACTIVITY: Reaction=(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate + 3-methyl-2-oxobutanoate + H2O = (6S)-5,6,7,8-tetrahydrofolate + 2-dehydropantoate; Xref=Rhea:RHEA:11824, ChEBI:CHEBI:11561, ChEBI:CHEBI:11851, ChEBI:CHEBI:15377, ChEBI:CHEBI:15636, ChEBI:CHEBI:57453; EC=2.1.2.11; Evidence={ECO:0000255|HAMAP-Rule:MF_00156};--   --
Q9JZW6--Q9HV70--58.4--3.0E-95--panB2 PA4729--Cofactor biosynthesis; (R)-pantothenate biosynthesis; (R)-pantoate from 3-methyl-2-oxobutanoate: step 1/2. --FUNCTION: Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is transferred onto alpha-ketoisovalerate to form ketopantoate. {ECO:0000255|HAMAP-Rule:MF_00156}.--CATALYTIC ACTIVITY: Reaction=(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate + 3-methyl-2-oxobutanoate + H2O = (6S)-5,6,7,8-tetrahydrofolate + 2-dehydropantoate; Xref=Rhea:RHEA:11824, ChEBI:CHEBI:11561, ChEBI:CHEBI:11851, ChEBI:CHEBI:15377, ChEBI:CHEBI:15636, ChEBI:CHEBI:57453; EC=2.1.2.11; Evidence={ECO:0000255|HAMAP-Rule:MF_00156};--   --
P27696--Q9HWK1--34.9--7.4E-97--PA4180--------   --
P0A953--Q9I3B2--69.6--0.0--fabB PA1609--------   --
P17443--Q9HW01--44.8--8.1E-90--murG PA4412--Cell wall biogenesis; peptidoglycan biosynthesis. --FUNCTION: Cell wall formation. Catalyzes the transfer of a GlcNAc subunit on undecaprenyl-pyrophosphoryl-MurNAc-pentapeptide (lipid intermediate I) to form undecaprenyl-pyrophosphoryl-MurNAc-(pentapeptide)GlcNAc (lipid intermediate II). {ECO:0000255|HAMAP-Rule:MF_00033}.--CATALYTIC ACTIVITY: ; Reaction=Mur2Ac(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Ala)-diphospho-di-trans,octa-cis-undecaprenol + UDP-N-acetyl-alpha-D-glucosamine = beta-D-GlcNAc-(1->4)-Mur2Ac(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Ala)-diphospho-di-trans,octa-cis-undecaprenol + H(+) + UDP; Xref=Rhea:RHEA:23192, ChEBI:CHEBI:15378, ChEBI:CHEBI:57705, ChEBI:CHEBI:58223, ChEBI:CHEBI:60032, ChEBI:CHEBI:60033; EC=2.4.1.227; Evidence={ECO:0000255|HAMAP-Rule:MF_00033};--   --3S2U;
P0AG16--Q51342--64.8--0.0--purF PA3108--Purine metabolism; IMP biosynthesis via de novo pathway; N(1)-(5-phospho-D-ribosyl)glycinamide from 5-phospho-alpha-D-ribose 1-diphosphate: step 1/2. --FUNCTION: Catalyzes the formation of phosphoribosylamine from phosphoribosylpyrophosphate (PRPP) and glutamine. {ECO:0000255|HAMAP-Rule:MF_01931}.--CATALYTIC ACTIVITY: ; Reaction=5-phospho-beta-D-ribosylamine + diphosphate + L-glutamate = 5-phospho-alpha-D-ribose 1-diphosphate + H2O + L-glutamine; Xref=Rhea:RHEA:14905, ChEBI:CHEBI:15377, ChEBI:CHEBI:29985, ChEBI:CHEBI:33019, ChEBI:CHEBI:58017, ChEBI:CHEBI:58359, ChEBI:CHEBI:58681; EC=2.4.2.14; Evidence={ECO:0000255|HAMAP-Rule:MF_01931};--   --
P30012--P30819--57.7--1.7E-97--nadC PA4524--Cofactor biosynthesis; NAD(+) biosynthesis; nicotinate D-ribonucleotide from quinolinate: step 1/1. --FUNCTION: Involved in the catabolism of quinolinic acid (QA). {ECO:0000250}.--CATALYTIC ACTIVITY: Reaction=CO2 + diphosphate + nicotinate beta-D-ribonucleotide = 5-phospho-alpha-D-ribose 1-diphosphate + 2 H(+) + quinolinate; Xref=Rhea:RHEA:12733, ChEBI:CHEBI:15378, ChEBI:CHEBI:16526, ChEBI:CHEBI:29959, ChEBI:CHEBI:33019, ChEBI:CHEBI:57502, ChEBI:CHEBI:58017; EC=2.4.2.19;--   --
P0AC13--Q9HV49--61.1--1.5E-104--folP PA4750--Cofactor biosynthesis; tetrahydrofolate biosynthesis; 7,8-dihydrofolate from 2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate and 4-aminobenzoate: step 1/2. --FUNCTION: Catalyzes the condensation of para-aminobenzoate (pABA) with 6-hydroxymethyl-7,8-dihydropterin diphosphate (DHPt-PP) to form 7,8-dihydropteroate (H2Pte), the immediate precursor of folate derivatives. {ECO:0000256|RuleBase:RU361205}.----   --
P0A716--Q9ZFK4--68.9--4.7E-139--kdsA PA3636--Carbohydrate biosynthesis; 3-deoxy-D-manno-octulosonate biosynthesis; 3-deoxy-D-manno-octulosonate from D-ribulose 5-phosphate: step 2/3. Bacterial outer membrane biogenesis; lipopolysaccharide biosynthesis. ----CATALYTIC ACTIVITY: Reaction=D-arabinose 5-phosphate + H2O + phosphoenolpyruvate = 3-deoxy-alpha-D-manno-2-octulosonate-8-phosphate + phosphate; Xref=Rhea:RHEA:14053, ChEBI:CHEBI:15377, ChEBI:CHEBI:43474, ChEBI:CHEBI:57693, ChEBI:CHEBI:58702, ChEBI:CHEBI:85985; EC=2.5.1.55;--   --4LU0;
P0A820--Q9I5Z0--72.9--0.0--metK PA0546--Amino-acid biosynthesis; S-adenosyl-L-methionine biosynthesis; S-adenosyl-L-methionine from L-methionine: step 1/1. --FUNCTION: Catalyzes the formation of S-adenosylmethionine (AdoMet) from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme. {ECO:0000255|HAMAP-Rule:MF_00086}.--CATALYTIC ACTIVITY: ; Reaction=ATP + H2O + L-methionine = diphosphate + phosphate + S-adenosyl-L-methionine; Xref=Rhea:RHEA:21080, ChEBI:CHEBI:15377, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:43474, ChEBI:CHEBI:57844, ChEBI:CHEBI:59789; EC=2.5.1.6; Evidence={ECO:0000255|HAMAP-Rule:MF_00086};--   --
P33038--Q9HVW7--61.3--3.0E-175--murA PA4450--Cell wall biogenesis; peptidoglycan biosynthesis. --FUNCTION: Cell wall formation. Adds enolpyruvyl to UDP-N-acetylglucosamine. {ECO:0000255|HAMAP-Rule:MF_00111}.--CATALYTIC ACTIVITY: ; Reaction=phosphoenolpyruvate + UDP-N-acetyl-alpha-D-glucosamine = phosphate + UDP-N-acetyl-3-O-(1-carboxyvinyl)-alpha-D-glucosamine; Xref=Rhea:RHEA:18681, ChEBI:CHEBI:43474, ChEBI:CHEBI:57705, ChEBI:CHEBI:58702, ChEBI:CHEBI:68483; EC=2.5.1.7; Evidence={ECO:0000255|HAMAP-Rule:MF_00111};--   --5BQ2;
P0A749--Q9HVW7--60.1--8.0E-173--murA PA4450--Cell wall biogenesis; peptidoglycan biosynthesis. --FUNCTION: Cell wall formation. Adds enolpyruvyl to UDP-N-acetylglucosamine. {ECO:0000255|HAMAP-Rule:MF_00111}.--CATALYTIC ACTIVITY: ; Reaction=phosphoenolpyruvate + UDP-N-acetyl-alpha-D-glucosamine = phosphate + UDP-N-acetyl-3-O-(1-carboxyvinyl)-alpha-D-glucosamine; Xref=Rhea:RHEA:18681, ChEBI:CHEBI:43474, ChEBI:CHEBI:57705, ChEBI:CHEBI:58702, ChEBI:CHEBI:68483; EC=2.5.1.7; Evidence={ECO:0000255|HAMAP-Rule:MF_00111};--   --5BQ2;
P0A751--Q9HVW7--60.1--8.0E-173--murA PA4450--Cell wall biogenesis; peptidoglycan biosynthesis. --FUNCTION: Cell wall formation. Adds enolpyruvyl to UDP-N-acetylglucosamine. {ECO:0000255|HAMAP-Rule:MF_00111}.--CATALYTIC ACTIVITY: ; Reaction=phosphoenolpyruvate + UDP-N-acetyl-alpha-D-glucosamine = phosphate + UDP-N-acetyl-3-O-(1-carboxyvinyl)-alpha-D-glucosamine; Xref=Rhea:RHEA:18681, ChEBI:CHEBI:43474, ChEBI:CHEBI:57705, ChEBI:CHEBI:58702, ChEBI:CHEBI:68483; EC=2.5.1.7; Evidence={ECO:0000255|HAMAP-Rule:MF_00111};--   --5BQ2;
P17169--Q9HT25--62.7--0.0--glmS PA5549----FUNCTION: Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source. {ECO:0000255|HAMAP-Rule:MF_00164}.--CATALYTIC ACTIVITY: ; Reaction=D-fructose 6-phosphate + L-glutamine = D-glucosamine 6-phosphate + L-glutamate; Xref=Rhea:RHEA:13237, ChEBI:CHEBI:29985, ChEBI:CHEBI:58359, ChEBI:CHEBI:58725, ChEBI:CHEBI:61527; EC=2.6.1.16; Evidence={ECO:0000255|HAMAP-Rule:MF_00164};--   --
P05041--Q9I2Y1--47.5--8.2E-121--pabB PA1758--------   --
P0A6I9--Q9HVP8--52.6--8.9E-58--coaE PA4529--Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate: step 5/5. --FUNCTION: Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A. {ECO:0000250}.--CATALYTIC ACTIVITY: Reaction=3'-dephospho-CoA + ATP = ADP + CoA + H(+); Xref=Rhea:RHEA:18245, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:57287, ChEBI:CHEBI:57328, ChEBI:CHEBI:456216; EC=2.7.1.24;--   --
Q9WZW1--Q9HVM3--38.8--5.0E-43--ribF PA4561--Cofactor biosynthesis; FAD biosynthesis; FAD from FMN: step 1/1. Cofactor biosynthesis; FMN biosynthesis; FMN from riboflavin (ATP route): step 1/1. ----CATALYTIC ACTIVITY: Reaction=ATP + FMN + H(+) = diphosphate + FAD; Xref=Rhea:RHEA:17237, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:57692, ChEBI:CHEBI:58210; EC=2.7.7.2; Evidence={ECO:0000256|PIRNR:PIRNR004491}; CATALYTIC ACTIVITY: Reaction=ATP + riboflavin = ADP + FMN + H(+); Xref=Rhea:RHEA:14357, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:57986, ChEBI:CHEBI:58210, ChEBI:CHEBI:456216; EC=2.7.1.26; Evidence={ECO:0000256|PIRNR:PIRNR004491};--   --
P0A6I0--Q9HZ70--60.4--1.4E-87--cmk PA3163------CATALYTIC ACTIVITY: ; Reaction=ATP + CMP = ADP + CDP; Xref=Rhea:RHEA:11600, ChEBI:CHEBI:30616, ChEBI:CHEBI:58069, ChEBI:CHEBI:60377, ChEBI:CHEBI:456216; EC=2.7.4.25; Evidence={ECO:0000255|HAMAP-Rule:MF_00238};; CATALYTIC ACTIVITY: ; Reaction=ATP + dCMP = ADP + dCDP; Xref=Rhea:RHEA:25094, ChEBI:CHEBI:30616, ChEBI:CHEBI:57566, ChEBI:CHEBI:58593, ChEBI:CHEBI:456216; EC=2.7.4.25; Evidence={ECO:0000255|HAMAP-Rule:MF_00238};--   --
P0A721--Q9HZN8--44.1--5.4E-47--tmk PA2962----FUNCTION: Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis. {ECO:0000250}.--CATALYTIC ACTIVITY: Reaction=ATP + dTMP = ADP + dTDP; Xref=Rhea:RHEA:13517, ChEBI:CHEBI:30616, ChEBI:CHEBI:58369, ChEBI:CHEBI:63528, ChEBI:CHEBI:456216; EC=2.7.4.9;--   --3UWK;3UWO;3UXM;4E5U;4EDH;4ESH;4GMD;
P0A753--Q9HX21--39.4--1.4E-39--nadD PA4006--Cofactor biosynthesis; NAD(+) biosynthesis; deamido-NAD(+) from nicotinate D-ribonucleotide: step 1/1. --FUNCTION: Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD). {ECO:0000250}.--CATALYTIC ACTIVITY: Reaction=ATP + H(+) + nicotinate beta-D-ribonucleotide = deamido-NAD(+) + diphosphate; Xref=Rhea:RHEA:22860, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:57502, ChEBI:CHEBI:58437; EC=2.7.7.18;--   --1YUL;1YUM;1YUN;
P43889--Q9HT22--53.0--2.0E-166--glmU PA5552--Nucleotide-sugar biosynthesis; UDP-N-acetyl-alpha-D-glucosamine biosynthesis; N-acetyl-alpha-D-glucosamine 1-phosphate from alpha-D-glucosamine 6-phosphate (route II): step 2/2. Nucleotide-sugar biosynthesis; UDP-N-acetyl-alpha-D-glucosamine biosynthesis; UDP-N-acetyl-alpha-D-glucosamine from N-acetyl-alpha-D-glucosamine 1-phosphate: step 1/1. Bacterial outer membrane biogenesis; LPS lipid A biosynthesis. --FUNCTION: Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP-GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5-monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain. {ECO:0000255|HAMAP-Rule:MF_01631}.--CATALYTIC ACTIVITY: ; Reaction=acetyl-CoA + alpha-D-glucosamine 1-phosphate = CoA + H(+) + N-acetyl-alpha-D-glucosamine 1-phosphate; Xref=Rhea:RHEA:13725, ChEBI:CHEBI:15378, ChEBI:CHEBI:57287, ChEBI:CHEBI:57288, ChEBI:CHEBI:57776, ChEBI:CHEBI:58516; EC=2.3.1.157; Evidence={ECO:0000255|HAMAP-Rule:MF_01631};; CATALYTIC ACTIVITY: ; Reaction=H(+) + N-acetyl-alpha-D-glucosamine 1-phosphate + UTP = diphosphate + UDP-N-acetyl-alpha-D-glucosamine; Xref=Rhea:RHEA:13509, ChEBI:CHEBI:15378, ChEBI:CHEBI:33019, ChEBI:CHEBI:46398, ChEBI:CHEBI:57705, ChEBI:CHEBI:57776; EC=2.7.7.23; Evidence={ECO:0000255|HAMAP-Rule:MF_01631};--   --
P61888--Q9HU22--66.0--1.6E-135--rmlA PA5163----FUNCTION: Catalyzes the formation of dTDP-glucose, from dTTP and glucose 1-phosphate, as well as its pyrophosphorolysis. {ECO:0000256|RuleBase:RU003706}.--CATALYTIC ACTIVITY: Reaction=alpha-D-glucose 1-phosphate + dTTP + H(+) = diphosphate + dTDP-alpha-D-glucose; Xref=Rhea:RHEA:15225, ChEBI:CHEBI:15378, ChEBI:CHEBI:33019, ChEBI:CHEBI:37568, ChEBI:CHEBI:57477, ChEBI:CHEBI:58601; EC=2.7.7.24; Evidence={ECO:0000256|RuleBase:RU003706};--   --1FXO;1FZW;1G0R;1G1L;1G23;1G2V;1G3L;3ZLK;3ZLL;4ARW;4ASJ;4ASY;4B2W;4B2X;4B3U;4B42;4B4B;4B4G;4B4M;4B5B;5FTS;5FTV;5FU0;5FU8;5FUH;5FYE;
Q9HU22--Q9HU22--100.0--0.0--rmlA PA5163----FUNCTION: Catalyzes the formation of dTDP-glucose, from dTTP and glucose 1-phosphate, as well as its pyrophosphorolysis. {ECO:0000256|RuleBase:RU003706}.--CATALYTIC ACTIVITY: Reaction=alpha-D-glucose 1-phosphate + dTTP + H(+) = diphosphate + dTDP-alpha-D-glucose; Xref=Rhea:RHEA:15225, ChEBI:CHEBI:15378, ChEBI:CHEBI:33019, ChEBI:CHEBI:37568, ChEBI:CHEBI:57477, ChEBI:CHEBI:58601; EC=2.7.7.24; Evidence={ECO:0000256|RuleBase:RU003706};--   --1FXO;1FZW;1G0R;1G1L;1G23;1G2V;1G3L;3ZLK;3ZLL;4ARW;4ASJ;4ASY;4B2W;4B2X;4B3U;4B42;4B4B;4B4G;4B4M;4B5B;5FTS;5FTV;5FU0;5FU8;5FUH;5FYE;
