P13702--Q2FV77--40.1--7.6E-93--SAOUHSC_02859--Metabolic intermediate metabolism; (R)-mevalonate degradation; (S)-3-hydroxy-3-methylglutaryl-CoA from (R)-mevalonate: step 1/1. ----CATALYTIC ACTIVITY: Reaction=(R)-mevalonate + CoA + 2 NAD(+) = (3S)-hydroxy-3-methylglutaryl-CoA + 2 H(+) + 2 NADH; Xref=Rhea:RHEA:14833, ChEBI:CHEBI:15378, ChEBI:CHEBI:36464, ChEBI:CHEBI:43074, ChEBI:CHEBI:57287, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.1.1.88; Evidence={ECO:0000256|RuleBase:RU361219};--   --
P16304--Q2FW27--68.4--3.1E-104--adk SAOUHSC_02490--Purine metabolism; AMP biosynthesis via salvage pathway; AMP from ADP: step 1/1. --FUNCTION: Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism. {ECO:0000256|HAMAP-Rule:MF_00235}.--CATALYTIC ACTIVITY: Reaction=AMP + ATP = 2 ADP; Xref=Rhea:RHEA:12973, ChEBI:CHEBI:30616, ChEBI:CHEBI:456215, ChEBI:CHEBI:456216; EC=2.7.4.3; Evidence={ECO:0000256|HAMAP-Rule:MF_00235, ECO:0000256|SAAS:SAAS01123758};--   --
P27142--Q2FW27--62.8--2.2E-97--adk SAOUHSC_02490--Purine metabolism; AMP biosynthesis via salvage pathway; AMP from ADP: step 1/1. --FUNCTION: Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism. {ECO:0000256|HAMAP-Rule:MF_00235}.--CATALYTIC ACTIVITY: Reaction=AMP + ATP = 2 ADP; Xref=Rhea:RHEA:12973, ChEBI:CHEBI:30616, ChEBI:CHEBI:456215, ChEBI:CHEBI:456216; EC=2.7.4.3; Evidence={ECO:0000256|HAMAP-Rule:MF_00235, ECO:0000256|SAAS:SAAS01123758};--   --
P14193--Q2G0S2--76.8--2.1E-169--prs SAOUHSC_00472--Metabolic intermediate biosynthesis; 5-phospho-alpha-D-ribose 1-diphosphate biosynthesis; 5-phospho-alpha-D-ribose 1-diphosphate from D-ribose 5-phosphate (route I): step 1/1. --FUNCTION: Involved in the biosynthesis of the central metabolite phospho-alpha-D-ribosyl-1-pyrophosphate (PRPP) via the transfer of pyrophosphoryl group from ATP to 1-hydroxyl of ribose-5-phosphate (Rib-5-P). {ECO:0000256|HAMAP-Rule:MF_00583}.--CATALYTIC ACTIVITY: Reaction=ATP + D-ribose 5-phosphate = 5-phospho-alpha-D-ribose 1-diphosphate + AMP + H(+); Xref=Rhea:RHEA:15609, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:58017, ChEBI:CHEBI:78346, ChEBI:CHEBI:456215; EC=2.7.6.1; Evidence={ECO:0000256|HAMAP-Rule:MF_00583, ECO:0000256|SAAS:SAAS01115190};--   --
P27623--Q2G2X2--69.5--1.5E-63--tarD SAOUHSC_00645--Cell wall biogenesis; poly(ribitol phosphate) teichoic acid biosynthesis. --FUNCTION: Catalyzes the transfer of the cytidylyl group of CTP to sn-glycerol 3-phosphate so the activated glycerol 3-phosphate can be used for teichoic acid synthesis, via incorporation into both the linkage unit by TarB and TarF. {ECO:0000269|PubMed:12637027}.--CATALYTIC ACTIVITY: Reaction=CTP + H(+) + sn-glycerol 3-phosphate = CDP-glycerol + diphosphate; Xref=Rhea:RHEA:13361, ChEBI:CHEBI:15378, ChEBI:CHEBI:33019, ChEBI:CHEBI:37563, ChEBI:CHEBI:57597, ChEBI:CHEBI:58311; EC=2.7.7.39; Evidence={ECO:0000269|PubMed:12637027};--   --2B7L;
P0AF12--Q2FXX8--54.6--9.5E-77--mtnN SAOUHSC_01702--Amino-acid biosynthesis; L-methionine biosynthesis via salvage pathway; S-methyl-5-thio-alpha-D-ribose 1-phosphate from S-methyl-5'-thioadenosine (hydrolase route): step 1/2. --FUNCTION: Catalyzes the irreversible cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S-adenosylhomocysteine (SAH/AdoHcy) to adenine and the corresponding thioribose, 5'-methylthioribose and S-ribosylhomocysteine, respectively. {ECO:0000255|HAMAP-Rule:MF_01684}.--CATALYTIC ACTIVITY: Reaction=H2O + S-adenosyl-L-homocysteine = adenine + S-(5-deoxy-D-ribos-5-yl)-L-homocysteine; Xref=Rhea:RHEA:17805, ChEBI:CHEBI:15377, ChEBI:CHEBI:16708, ChEBI:CHEBI:57856, ChEBI:CHEBI:58195; EC=3.2.2.9; Evidence={ECO:0000255|HAMAP-Rule:MF_01684}; CATALYTIC ACTIVITY: Reaction=H2O + S-methyl-5'-thioadenosine = adenine + S-methyl-5-thio-D-ribose; Xref=Rhea:RHEA:13617, ChEBI:CHEBI:15377, ChEBI:CHEBI:16708, ChEBI:CHEBI:16895, ChEBI:CHEBI:17509; EC=3.2.2.9; Evidence={ECO:0000255|HAMAP-Rule:MF_01684};--   --
P0AF14--Q2FXX8--54.6--9.5E-77--mtnN SAOUHSC_01702--Amino-acid biosynthesis; L-methionine biosynthesis via salvage pathway; S-methyl-5-thio-alpha-D-ribose 1-phosphate from S-methyl-5'-thioadenosine (hydrolase route): step 1/2. --FUNCTION: Catalyzes the irreversible cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S-adenosylhomocysteine (SAH/AdoHcy) to adenine and the corresponding thioribose, 5'-methylthioribose and S-ribosylhomocysteine, respectively. {ECO:0000255|HAMAP-Rule:MF_01684}.--CATALYTIC ACTIVITY: Reaction=H2O + S-adenosyl-L-homocysteine = adenine + S-(5-deoxy-D-ribos-5-yl)-L-homocysteine; Xref=Rhea:RHEA:17805, ChEBI:CHEBI:15377, ChEBI:CHEBI:16708, ChEBI:CHEBI:57856, ChEBI:CHEBI:58195; EC=3.2.2.9; Evidence={ECO:0000255|HAMAP-Rule:MF_01684}; CATALYTIC ACTIVITY: Reaction=H2O + S-methyl-5'-thioadenosine = adenine + S-methyl-5-thio-D-ribose; Xref=Rhea:RHEA:13617, ChEBI:CHEBI:15377, ChEBI:CHEBI:16708, ChEBI:CHEBI:16895, ChEBI:CHEBI:17509; EC=3.2.2.9; Evidence={ECO:0000255|HAMAP-Rule:MF_01684};--   --
Q9KPI8--Q2FXX8--53.9--2.1E-75--mtnN SAOUHSC_01702--Amino-acid biosynthesis; L-methionine biosynthesis via salvage pathway; S-methyl-5-thio-alpha-D-ribose 1-phosphate from S-methyl-5'-thioadenosine (hydrolase route): step 1/2. --FUNCTION: Catalyzes the irreversible cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S-adenosylhomocysteine (SAH/AdoHcy) to adenine and the corresponding thioribose, 5'-methylthioribose and S-ribosylhomocysteine, respectively. {ECO:0000255|HAMAP-Rule:MF_01684}.--CATALYTIC ACTIVITY: Reaction=H2O + S-adenosyl-L-homocysteine = adenine + S-(5-deoxy-D-ribos-5-yl)-L-homocysteine; Xref=Rhea:RHEA:17805, ChEBI:CHEBI:15377, ChEBI:CHEBI:16708, ChEBI:CHEBI:57856, ChEBI:CHEBI:58195; EC=3.2.2.9; Evidence={ECO:0000255|HAMAP-Rule:MF_01684}; CATALYTIC ACTIVITY: Reaction=H2O + S-methyl-5'-thioadenosine = adenine + S-methyl-5-thio-D-ribose; Xref=Rhea:RHEA:13617, ChEBI:CHEBI:15377, ChEBI:CHEBI:16708, ChEBI:CHEBI:16895, ChEBI:CHEBI:17509; EC=3.2.2.9; Evidence={ECO:0000255|HAMAP-Rule:MF_01684};--   --
P56740--Q2G0Q6--99.2--1.1E-81--SAOUHSC_00490--Cofactor biosynthesis; tetrahydrofolate biosynthesis; 2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate from 7,8-dihydroneopterin triphosphate: step 3/4. --FUNCTION: Catalyzes the conversion of 7,8-dihydroneopterin to 6-hydroxymethyl-7,8-dihydropterin. {ECO:0000256|RuleBase:RU362079}.--CATALYTIC ACTIVITY: Reaction=7,8-dihydroneopterin = 6-hydroxymethyl-7,8-dihydropterin + glycolaldehyde; Xref=Rhea:RHEA:10540, ChEBI:CHEBI:17001, ChEBI:CHEBI:17071, ChEBI:CHEBI:44841; EC=4.1.2.25; Evidence={ECO:0000256|RuleBase:RU362079};--   --
P24670--Q2G002--34.1--7.9E-29--aroD SAOUHSC_00832--Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 3/7. --FUNCTION: Involved in the third step of the chorismate pathway, which leads to the biosynthesis of aromatic amino acids. Catalyzes the cis-dehydration of 3-dehydroquinate (DHQ) and introduces the first double bond of the aromatic ring to yield 3-dehydroshikimate. {ECO:0000255|HAMAP-Rule:MF_00214}.--CATALYTIC ACTIVITY: Reaction=3-dehydroquinate = 3-dehydroshikimate + H2O; Xref=Rhea:RHEA:21096, ChEBI:CHEBI:15377, ChEBI:CHEBI:16630, ChEBI:CHEBI:32364; EC=4.2.1.10; Evidence={ECO:0000255|HAMAP-Rule:MF_00214};--   --
Q6GII7--Q2G002--97.9--2.2E-165--aroD SAOUHSC_00832--Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 3/7. --FUNCTION: Involved in the third step of the chorismate pathway, which leads to the biosynthesis of aromatic amino acids. Catalyzes the cis-dehydration of 3-dehydroquinate (DHQ) and introduces the first double bond of the aromatic ring to yield 3-dehydroshikimate. {ECO:0000255|HAMAP-Rule:MF_00214}.--CATALYTIC ACTIVITY: Reaction=3-dehydroquinate = 3-dehydroshikimate + H2O; Xref=Rhea:RHEA:21096, ChEBI:CHEBI:15377, ChEBI:CHEBI:16630, ChEBI:CHEBI:32364; EC=4.2.1.10; Evidence={ECO:0000255|HAMAP-Rule:MF_00214};--   --
Q6GGU4--Q2FYH0--98.3--0.0--aroB SAOUHSC_01482--Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 2/7. --FUNCTION: Catalyzes the conversion of 3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) to dehydroquinate (DHQ). {ECO:0000255|HAMAP-Rule:MF_00110}.--CATALYTIC ACTIVITY: Reaction=7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate = 3-dehydroquinate + phosphate; Xref=Rhea:RHEA:21968, ChEBI:CHEBI:32364, ChEBI:CHEBI:43474, ChEBI:CHEBI:58394; EC=4.2.3.4; Evidence={ECO:0000255|HAMAP-Rule:MF_00110};--   --
P0A2Y7--Q2FYG9--56.6--4.2E-144--aroC SAOUHSC_01483--Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 7/7. --FUNCTION: Catalyzes the anti-1,4-elimination of the C-3 phosphate and the C-6 proR hydrogen from 5-enolpyruvylshikimate-3-phosphate (EPSP) to yield chorismate, which is the branch point compound that serves as the starting substrate for the three terminal pathways of aromatic amino acid biosynthesis. This reaction introduces a second double bond into the aromatic ring system. {ECO:0000255|HAMAP-Rule:MF_00300}.--CATALYTIC ACTIVITY: Reaction=5-O-(1-carboxyvinyl)-3-phosphoshikimate = chorismate + phosphate; Xref=Rhea:RHEA:21020, ChEBI:CHEBI:29748, ChEBI:CHEBI:43474, ChEBI:CHEBI:57701; EC=4.2.3.5; Evidence={ECO:0000255|HAMAP-Rule:MF_00300};--   --
P32396--Q2FXA4--62.8--2.3E-135--hemH SAOUHSC_01961--Porphyrin-containing compound metabolism; protoheme biosynthesis; protoheme from protoporphyrin-IX: step 1/1. --FUNCTION: Catalyzes the ferrous insertion into protoporphyrin IX. {ECO:0000256|HAMAP-Rule:MF_00323, ECO:0000256|RuleBase:RU000607, ECO:0000256|SAAS:SAAS00982002}.--CATALYTIC ACTIVITY: Reaction=2 H(+) + heme b = Fe(2+) + protoporphyrin IX; Xref=Rhea:RHEA:22584, ChEBI:CHEBI:15378, ChEBI:CHEBI:29033, ChEBI:CHEBI:57306, ChEBI:CHEBI:60344; EC=4.99.1.1; Evidence={ECO:0000256|HAMAP-Rule:MF_00323, ECO:0000256|RuleBase:RU000607, ECO:0000256|SAAS:SAAS01116640};--   --
P50740--Q2FVR9--41.6--2.1E-83--fni SAOUHSC_02623----FUNCTION: Involved in the biosynthesis of isoprenoids. Catalyzes the 1,3-allylic rearrangement of the homoallylic substrate isopentenyl (IPP) to its allylic isomer, dimethylallyl diphosphate (DMAPP). {ECO:0000255|HAMAP-Rule:MF_00354}.--CATALYTIC ACTIVITY: Reaction=isopentenyl diphosphate = dimethylallyl diphosphate; Xref=Rhea:RHEA:23284, ChEBI:CHEBI:57623, ChEBI:CHEBI:128769; EC=5.3.3.2; Evidence={ECO:0000255|HAMAP-Rule:MF_00354};--   --
P08164--Q2G236--51.3--4.7E-83--nadE SAOUHSC_02132--Cofactor biosynthesis; NAD(+) biosynthesis; NAD(+) from deamido-NAD(+) (ammonia route): step 1/1. --FUNCTION: Catalyzes the ATP-dependent amidation of deamido-NAD to form NAD. Uses ammonia as a nitrogen source. {ECO:0000255|HAMAP-Rule:MF_00193}.--CATALYTIC ACTIVITY: Reaction=ATP + deamido-NAD(+) + NH4(+) = AMP + diphosphate + H(+) + NAD(+); Xref=Rhea:RHEA:21188, ChEBI:CHEBI:15378, ChEBI:CHEBI:28938, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:57540, ChEBI:CHEBI:58437, ChEBI:CHEBI:456215; EC=6.3.1.5; Evidence={ECO:0000255|HAMAP-Rule:MF_00193};--   --
P18843--Q2G236--58.6--6.2E-104--nadE SAOUHSC_02132--Cofactor biosynthesis; NAD(+) biosynthesis; NAD(+) from deamido-NAD(+) (ammonia route): step 1/1. --FUNCTION: Catalyzes the ATP-dependent amidation of deamido-NAD to form NAD. Uses ammonia as a nitrogen source. {ECO:0000255|HAMAP-Rule:MF_00193}.--CATALYTIC ACTIVITY: Reaction=ATP + deamido-NAD(+) + NH4(+) = AMP + diphosphate + H(+) + NAD(+); Xref=Rhea:RHEA:21188, ChEBI:CHEBI:15378, ChEBI:CHEBI:28938, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:57540, ChEBI:CHEBI:58437, ChEBI:CHEBI:456215; EC=6.3.1.5; Evidence={ECO:0000255|HAMAP-Rule:MF_00193};--   --
P15925--Q2FXR9--32.7--9.5E-62--SAOUHSC_01766--------   --
